time,activity,appCat.values,call,circumplex.values,mood,screen,sms
2014-02-17,0.041548297,21.900333,1.0,0.125,6.25,22.162157,0.0
2014-02-18,0.015309343,22.311789,1.0,-0.14285715,6.5,56.542267,0.0
2014-02-19,0.06439394,37.84968,1.0,0.1,6.6,137.49463,1.0
2014-02-20,0.03922033,38.048714,1.0,0.0,6.3333335,117.01176,1.0
2014-02-21,0.042032827,12.75095,1.0,0.6,7.2,33.210304,1.0
2014-02-22,0.115814395,16.515434,1.0,0.625,7.25,34.15554,1.0
2014-02-25,0.11026936,17.712667,1.0,0.5,8.0,59.9115,0.0
2014-02-26,0.0,0.0,1.0,0.25,6.25,0.0,1.0
2014-02-27,0.0,0.0,0.0,0.16666667,6.3333335,0.0,0.0
2014-02-28,0.0,0.0,1.0,0.0,6.75,0.0,0.0
2014-03-01,0.0,0.0,0.0,0.125,7.0,0.0,1.0
2014-03-03,0.0,0.0,1.0,0.25,7.5,0.0,0.0
2014-03-05,0.0,0.0,1.0,0.4,7.6,0.0,0.0
2014-03-06,0.0,0.0,1.0,0.5,7.75,0.0,0.0
2014-03-07,0.0,0.0,1.0,0.3,6.6,0.0,0.0
2014-03-10,0.0,0.0,1.0,-0.25,6.0,0.0,0.0
2014-03-11,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2014-03-12,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2014-03-13,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014-03-14,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2014-03-15,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2014-03-16,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2014-03-17,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2014-03-18,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2014-03-19,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014-03-20,0.08154762,36.17215,1.0,0.0,0.0,252.88266,0.0
2014-03-21,0.1340501,35.906082,1.0,0.2,6.2,153.66588,0.0
2014-03-22,0.23688021,29.823156,1.0,0.5555556,6.4,47.61365,1.0
2014-03-23,0.14274111,32.470245,1.0,0.5,6.8,67.06764,0.0
2014-03-24,0.07896106,34.182713,1.0,0.4,6.0,76.7722,1.0
2014-03-25,0.09837411,45.23361,1.0,0.5,6.75,169.09729,1.0
2014-03-26,0.10130832,41.041405,1.0,0.2,6.6,94.38966,1.0
2014-03-27,0.15951064,27.702984,1.0,0.5,7.0,129.20111,1.0
2014-03-28,0.09569802,61.406174,1.0,0.0,6.4,55.94874,0.0
2014-03-29,0.06820281,38.559925,1.0,0.6,8.0,130.04097,1.0
2014-03-30,0.04909297,37.84219,1.0,0.125,7.5,167.52644,1.0
2014-03-31,0.07050548,30.317358,1.0,0.3,7.4,95.458336,1.0
2014-04-01,0.11844324,25.661768,1.0,0.1,6.0,90.38898,0.0
2014-04-02,0.10191661,29.201136,1.0,0.5,6.5,94.50668,0.0
2014-04-03,0.049238473,31.312277,1.0,-0.6,6.4,79.85759,0.0
2014-04-04,0.12668931,29.72839,1.0,0.3,6.2,80.38579,1.0
2014-04-05,0.119002305,102.71385,1.0,0.1,6.8,53.022713,0.0
2014-04-06,0.0644078,38.807384,1.0,-0.125,6.5,82.05849,1.0
2014-04-07,0.05067062,34.642628,1.0,-0.14285715,6.5,80.70804,0.0
2014-04-08,0.07532706,39.151005,1.0,-0.125,6.6,71.23176,0.0
2014-04-09,0.12038411,29.637028,1.0,0.0,7.4,67.45418,0.0
2014-04-10,0.07896311,36.707775,1.0,0.2,7.4,101.044556,0.0
2014-04-11,0.0799862,31.00319,1.0,-0.2,7.0,85.584114,0.0
2014-04-12,0.07224906,64.80066,1.0,0.0,7.25,250.01721,0.0
2014-04-13,0.014021329,16.70605,1.0,-0.125,8.0,57.30717,0.0
2014-04-14,0.08388732,44.937042,1.0,-0.3,7.2,138.3496,1.0
2014-04-15,0.09011215,28.521872,1.0,0.4,6.4,101.38226,1.0
2014-04-16,0.11611034,24.723255,1.0,0.6666667,7.2,75.89379,1.0
2014-04-17,0.056917857,55.692104,1.0,0.1,6.6,150.1848,0.0
2014-04-18,0.09403301,39.73103,1.0,0.0,6.8,156.86894,0.0
2014-04-19,0.09943191,21.291605,1.0,0.4,7.8,162.11278,0.0
2014-04-20,0.07481624,31.513592,1.0,0.25,7.25,93.74739,1.0
2014-04-21,0.10204106,34.922134,1.0,0.44444445,7.6,64.96595,0.0
2014-04-22,0.091929555,32.720985,1.0,0.6,7.4,84.646286,0.0
2014-04-23,0.045985688,32.300953,1.0,0.6,7.6,96.90227,0.0
2014-04-24,0.05090299,45.676514,1.0,0.3,7.6,206.41568,0.0
2014-04-25,0.10906106,34.05487,1.0,0.3,7.2,99.10597,1.0
2014-04-26,0.21424878,34.46429,1.0,0.4,7.6,221.1717,1.0
2014-04-27,0.030478925,40.11022,1.0,0.5,7.5,107.55777,1.0
2014-04-28,0.019675322,41.602192,1.0,0.0,7.6,121.436295,0.0
2014-04-29,0.10275825,43.52106,0.0,0.2857143,7.0,77.18914,0.0
2014-04-30,0.15105146,21.1228,1.0,0.11111111,7.8,79.78787,1.0
2014-05-01,0.037065268,33.56967,1.0,0.3,8.0,81.240585,1.0
2014-05-02,0.07734102,34.57029,1.0,0.33333334,7.6,120.70815,0.0
2014-05-03,0.07174089,47.073044,1.0,0.4,8.0,109.14715,1.0
2014-05-04,0.13619182,37.707058,1.0,0.25,8.0,92.01867,0.0
2014-05-05,0.007842596,30.706278,1.0,0.0,6.6,137.59492,0.0
